id;title;summary;link;published;topic;politik;utbildning;religion;miljo;ekonomi;livsstilfritt;samhallekonflikter;halsa;idrott;vetenskapteknik
1;"Flera skjutna i Örebro – detta har hänt";"Flera personer har skjutits i Örebro. Det här är vad som hittills är känt.";https://www.dn.se/sverige/flera-skjutna-i-orebro-detta-har-hant/;"2025-02-04 15:15:08";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
2;"Strömmer: Mycket allvarliga uppgifter";"Flera partiledare och ministrar kommenterar nu våldsdådet vid en skola i Örebro.";https://www.dn.se/sverige/strommer-mycket-allvarliga-uppgifter/;"2025-02-04 15:14:29";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
3;"Sandra Stiskalo: Vettlös hosiannastämning när Jens Stoltenberg återvänder till Norge";"Jens Stoltenberg återvänder för att tjäna potatislandet Norge som ny finansminister. Tilltron till hans förmåga känner inga gränser, skriver Sandra Stiskalo";https://www.dn.se/kultur/sandra-stiskalo-vettlos-hosiannastamning-nar-jens-stoltenberg-atervander-till-norge/;"2025-02-04 15:05:57";;0;0;0;0;0;0;0;0;0;0
4;"Pingisstjärnan vidare – nu väntar världsettan";"Det krävdes en tuff femsetare för att slå ut en ”spektakulär” japan. Nu lär bordtennisstjärnan Anton Källberg behöva plocka fram något alldeles extra. I åttondelsfinal av stortävlingen i Singapore väntar världsettan Wang Chuqin.";https://www.dn.se/sport/pingisstjarnan-vidare-nu-vantar-varldsettan/;"2025-02-04 15:05:45";Idrott;0;0;0;0;0;0;0;0;1;0
5;"Expert: Så ska Sverige klara sig genom tullhoten";"USA har återigen hotat med att införa tullar på europeiska varor. Simon Evenett, professor vid IMD, menar att svenska företag bör öka sin export till andra länder än USA. – Det finns andra marknader som växer snabbare, säger Simon Evenett.";https://www.dn.se/ekonomi/expert-sa-ska-sverige-klara-sig-genom-tullhoten/;"2025-02-04 15:01:20";;0;0;0;0;0;0;0;0;0;0
6;"Insändare. Svensk skolpeng ska inte hjälpa Trump till makten";"INSÄNDARE. Det är orimligt att svenska skattepengar i slutänden har hamnar i partikassan hos republikanska politiker i USA. Svensk skolpeng ska inte kunna hjälpa Donald Trump till makten, skriver Iwan Langermo.";https://www.dn.se/insandare/svensk-skolpeng-ska-inte-hjalpa-trump-till-makten/;"2025-02-04 14:51:23";Politik;1;0;0;0;0;0;0;0;0;0
7;"EU om svenskarna: Ät mer grönsaker";"En riskfaktor för cancer sticker ut bland svenskarna. Jämfört med resten av EU äter vi för lite frukt och grönt. Sverige är också ett av de länder som kommer att få kraftigt ökade kostnader för cancervården, visar en ny rapport.";https://www.dn.se/sverige/eu-om-svenskarna-at-mer-gronsaker/;"2025-02-04 14:48:32";;0;0;0;0;0;0;0;0;0;0
8;"DN Debatt Repliker. ”M väntar inte på S – sluta vela om kärnkraften”";"DN DEBATT REPLIK. Mats Green (M): Klassisk socialdemokratisk historieförfalskning duger inte i en så viktig fråga som energiförsörjning.";https://www.dn.se/debatt/m-vantar-inte-pa-s-sluta-vela-om-karnkraften/;"2025-02-04 14:10:43";Politik;1;0;0;0;0;0;0;0;0;0
9;"Fem personer skjutna vid skola i Örebro: ”Det är kris”";"Fem personer är bekräftat skjutna i en skottlossning vid Risbergska skolan i Örebro. Enligt preliminära uppgifter till DN rör det sig om tio skadade. Insatsen pågår och polisen understryker att allmänheten fortsatt måste hålla sig undan. Enligt uppgifter till DN har polis beskjutits och nationella insatsstyrkan är på plats. – Det är kris, säger en av rektorerna.";https://www.dn.se/sverige/uppgifter-till-dn-skottlossning-pa-skola-i-orebro/;"2025-02-04 13:18:30";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
10;"Klart: Ryssland och Belarus fortsatt avstängda";"Ryssland och Belarus får inte delta i internationell ishockey heller nästa säsong då OS avgörs. IIHF:s beslut upprör Ryssland som kommer att överklaga.";https://www.dn.se/sport/klart-ryssland-och-belarus-fortsatt-avstangda/;"2025-02-04 13:03:16";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
11;"Insändare. Ge polisen rätt att stänga fler konton i sociala medier";"INSÄNDARE. Utvidga den EU-lagstiftning som finns för att stoppa terrorinnehåll och rekrytering på nätet till att även omfatta gängkriminalitet. Ge även svensk polis rätt att även stänga konton i sociala medier som försöker rekrytera barn till att utföra skjutningar och sprängningar, skriver Kjell Nordenstam.";https://www.dn.se/insandare/ge-polisen-ratt-att-stanga-fler-konton-i-sociala-medier/;"2025-02-04 12:38:32";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
12;"Insändare. Svar: Slå vakt om svensk förskola som en trygg punkt för otrygga barn";"SVAR PÅ INSÄNDARE. Det krävs en mängd olika insatser för att få slut på gängkriminellas rekrytering av barn. Att ta bort förskolan, som är en trygg punkt i livet för hundratusentals barn och möjligheten för vårdnadshavare att skapa bättre ekonomiska förutsättningar för sig själva och sina barn, är inte lösningen, skriver förskollärarstudenten Caroline Undorf.";https://www.dn.se/insandare/svar-sla-vakt-om-svensk-forskola-som-en-trygg-punkt-for-otrygga-barn/;"2025-02-04 12:30:11";;0;0;0;0;0;0;0;0;0;0
13;"Susanne Nyström: Svensk välfärd har förändrats i grunden – vet du hur?";"Under de senaste decennierna har alltmer av välfärden börjat drivas av privata aktörer. Vad har fungerat bra? Vad har varit sämre? Och hur har helheten påverkats? Det är det ingen som riktigt vet.";https://www.dn.se/ledare/susanne-nystrom-svensk-valfard-har-forandrats-i-grunden-vet-du-hur/;"2025-02-04 12:17:50";;0;0;0;0;0;0;0;0;0;0
14;"Ekobrottsmisstänkt lämnade Sverige – åtalad på Cypern";"Företagaren från Norrbotten lämnade landet men greps på Cypern. Där åtalas han för flera brott efter ett spektakulärt rymningsförsök. Hemma väntar förhör om misstänkta grova bedrägerier. – Han har inte formellt delgivits misstanke i Sverige, så jag har ingen inställning att lämna i dagsläget, säger Elin Roos, försvarsadvokat.";https://www.dn.se/ekonomi/ekobrottsmisstankt-lamnade-sverige-atalad-pa-cypern/;"2025-02-04 12:14:13";SamhalleKonflikter;0;0;0;0;0;0;1;0;0;0
15;"Chatta med sparekonom Maria Landeborn";"Sänkta räntor, höjda tullar och en svajig aktiemarknad – mycket kan påverka svenskarnas plånböcker. När är det läge att köpa och sälja aktier? Hur ska man tänka med boräntan? Och kan vi rusta oss för en sämre ekonomi? Maria Landeborn, sparekonom på Danske bank, svarar på läsarnas frågor.";https://www.dn.se/ekonomi/chatta-med-sparekonom-maria-landeborn/;"2025-02-04 12:13:35";;0;0;0;0;0;0;0;0;0;0
16;"Blås & Knåda firar 50 år som vital institution";"Kooperativet Blås & Knåda bildades för 50 år sedan, vilket nu uppmärksammans med en jubileumsbok och en utställning. ”Blåset” är ingen stapplande gamling utan en livskraftig plats för konsthantverkets samtida uttryck, skriver Petter Eklund.";https://www.dn.se/kultur/blas-knada-firar-50-ar-som-vital-institution/;"2025-02-04 12:12:35";;0;0;0;0;0;0;0;0;0;0
